Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
63,PMR446EXT,446.700000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
64,PMR446EXT,446.712500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
65,PMR446EXT,446.725000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
66,PMR446EXT,446.737500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
67,PMR446EXT,446.750000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
68,PMR446EXT,446.762500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
69,PMR446EXT,446.775000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
70,PMR446EXT,446.787500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
71,PMR446EXT,446.800000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
72,PMR446EXT,446.812500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
73,PMR446EXT,446.825000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
74,PMR446EXT,446.837500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
75,PMR446EXT,446.850000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
76,PMR446EXT,446.862500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
77,PMR446EXT,446.875000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
78,PMR446EXT,446.887500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
79,PMR446EXT,446.900000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
80,PMR446EXT,446.912500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
81,PMR446EXT,446.925000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
82,PMR446EXT,446.937500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
83,PMR446EXT,446.950000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
84,PMR446EXT,446.962500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
85,PMR446EXT,446.975000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
86,PMR446EXT,446.987500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
87,PMR446EXT,447.000000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
88,PMR446EXT,447.012500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
89,PMR446EXT,447.025000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
90,PMR446EXT,447.037500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
91,PMR446EXT,447.050000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
92,PMR446EXT,447.062500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
93,PMR446EXT,447.075000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
94,PMR446EXT,447.087500,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
